Wavelength (nm),Sum(calc),Fe I (4.4e-2),Fe II (9.5e-1),Fe III (2.2e-3)
199.835,1.997e-28,,,1.997e-28
199.840,1.315e-26,,,1.315e-26
199.845,7.642e-25,,,7.642e-25
199.850,3.919e-23,,,3.919e-23
199.855,1.773e-21,,,1.773e-21
199.860,7.083e-20,,,7.083e-20
199.865,2.496e-18,,8.990e-24,2.496e-18
199.870,7.765e-17,,6.372e-22,7.765e-17
199.875,2.131e-15,,3.985e-20,2.131e-15
199.880,5.163e-14,,2.200e-18,5.163e-14
199.885,1.104e-12,,1.072e-16,1.104e-12
199.890,2.083e-11,,4.608e-15,2.082e-11
199.895,3.469e-10,,1.748e-13,3.467e-10
199.900,5.100e-9,,5.855e-12,5.094e-9
199.905,6.623e-8,,1.730e-10,6.605e-8
199.910,7.604e-7,,4.514e-9,7.558e-7
199.915,7.737e-6,,1.039e-7,7.633e-6
199.920,7.013e-5,,2.111e-6,6.802e-5
199.925,5.728e-4,,3.784e-5,5.350e-4
199.930,4.312e-3,,5.988e-4,3.713e-3
199.935,3.111e-2,,8.361e-3,2.274e-2
199.940,2.260e-1,,1.030e-1,1.229e-1
199.945,1.707e+0,,1.121e+0,5.865e-1
199.950,1.323e+1,,1.076e+1,2.469e+0
199.955,1.003e+2,,9.114e+1,9.173e+0
199.960,7.114e+2,,6.814e+2,3.008e+1
199.965,4.583e+3,,4.496e+3,8.702e+1
199.970,2.640e+4,,2.618e+4,2.222e+2
199.975,1.350e+5,,1.345e+5,5.007e+2
199.980,6.112e+5,,6.102e+5,9.958e+2
199.985,2.444e+6,,2.442e+6,1.748e+3
199.990,8.631e+6,,8.628e+6,2.707e+3
199.995,2.690e+7,,2.690e+7,3.700e+3
200.000,7.402e+7,,7.401e+7,4.463e+3
200.005,1.797e+8,,1.797e+8,4.750e+3
200.010,3.851e+8,,3.851e+8,4.463e+3
200.015,7.284e+8,,7.284e+8,3.700e+3
200.020,1.216e+9,,1.216e+9,2.707e+3
200.025,1.791e+9,,1.791e+9,1.748e+3
200.030,2.328e+9,,2.328e+9,9.958e+2
200.035,2.671e+9,,2.671e+9,5.008e+2
200.040,2.705e+9,,2.705e+9,2.222e+2
200.045,2.417e+9,,2.417e+9,8.706e+1
200.050,1.906e+9,,1.906e+9,3.029e+1
200.055,1.327e+9,,1.327e+9,1.025e+1
200.060,8.151e+8,,8.151e+8,7.208e+0
200.065,4.419e+8,,4.419e+8,1.907e+1
200.070,2.114e+8,,2.114e+8,6.377e+1
200.075,8.927e+7,,8.927e+7,1.935e+2
200.079,4.093e+7,,4.093e+7,4.304e+2
200.084,1.380e+7,,1.380e+7,1.046e+3
200.089,4.110e+6,,4.107e+6,2.243e+3
200.094,1.083e+6,,1.079e+6,4.253e+3
200.099,2.572e+5,,2.500e+5,7.130e+3
200.104,6.173e+4,,5.115e+4,1.058e+4
200.109,2.316e+4,,9.234e+3,1.393e+4
200.114,1.777e+4,,1.471e+3,1.630e+4
200.119,1.725e+4,,2.069e+2,1.705e+4
200.124,1.607e+4,,2.567e+1,1.605e+4
200.129,1.374e+4,,2.811e+0,1.374e+4
200.134,1.087e+4,,2.717e-1,1.087e+4
200.139,8.104e+3,,2.318e-2,8.104e+3
200.144,5.849e+3,,1.745e-3,5.849e+3
200.149,4.250e+3,,1.159e-4,4.250e+3
200.154,3.327e+3,,6.798e-6,3.327e+3
200.159,3.066e+3,,3.518e-7,3.066e+3
200.164,3.417e+3,,1.606e-8,3.417e+3
200.169,4.223e+3,,6.475e-10,4.223e+3
200.174,5.179e+3,,2.303e-11,5.179e+3
200.179,5.894e+3,,7.230e-13,5.894e+3
200.184,6.040e+3,,2.003e-14,6.040e+3
200.189,5.506e+3,,4.898e-16,5.506e+3
200.194,4.445e+3,,1.057e-17,4.445e+3
200.199,3.172e+3,,2.013e-19,3.172e+3
200.204,2.004e+3,,3.383e-21,2.004e+3
200.209,1.130e+3,,3.331e-21,1.130e+3
200.214,5.962e+2,,3.279e-21,5.962e+2
200.219,3.540e+2,,3.227e-21,3.540e+2
200.224,3.343e+2,,3.175e-21,3.343e+2
200.229,4.838e+2,,3.123e-21,4.838e+2
200.234,7.653e+2,,3.071e-21,7.653e+2
200.239,1.136e+3,,3.019e-21,1.136e+3
200.244,1.530e+3,,2.967e-21,1.530e+3
200.249,1.855e+3,,2.915e-21,1.855e+3
200.254,2.022e+3,,2.863e-21,2.022e+3
200.259,1.979e+3,,2.811e-21,1.979e+3
200.264,1.736e+3,,2.759e-21,1.736e+3
200.269,1.362e+3,,2.707e-21,1.362e+3
200.274,9.538e+2,,2.655e-21,9.538e+2
200.279,5.954e+2,,2.603e-21,5.954e+2
200.284,3.315e+2,,2.551e-21,3.315e+2
200.289,1.684e+2,,2.499e-21,1.684e+2
200.294,9.504e+1,,2.447e-21,9.504e+1
200.299,1.179e+2,,2.395e-21,1.179e+2
200.304,3.116e+2,,2.343e-21,3.116e+2
200.309,8.960e+2,,2.291e-21,8.960e+2
200.314,2.331e+3,,2.239e-21,2.331e+3
200.319,5.369e+3,,2.187e-21,5.369e+3
200.324,1.092e+4,,2.135e-21,1.092e+4
200.329,1.961e+4,,2.083e-21,1.961e+4
200.334,3.109e+4,,2.031e-21,3.109e+4
200.339,4.352e+4,,1.979e-21,4.352e+4
200.344,5.379e+4,,1.927e-21,5.379e+4
200.349,5.869e+4,,1.875e-21,5.869e+4
200.354,5.654e+4,,1.823e-21,5.654e+4
200.359,4.808e+4,,1.771e-21,4.808e+4
200.364,3.611e+4,,1.719e-21,3.611e+4
200.369,2.394e+4,,1.667e-21,2.394e+4
200.374,1.401e+4,,1.615e-21,1.401e+4
200.379,7.240e+3,,1.563e-21,7.240e+3
200.384,3.303e+3,,1.511e-21,3.303e+3
200.389,1.330e+3,,1.459e-21,1.330e+3
200.394,4.732e+2,,1.407e-21,4.732e+2
200.399,1.486e+2,,1.355e-21,1.486e+2
200.404,4.118e+1,,1.303e-21,4.118e+1
200.409,1.008e+1,,1.251e-21,1.008e+1
200.414,2.178e+0,,1.199e-21,2.178e+0
200.419,4.181e-1,,1.147e-21,4.181e-1
200.424,8.667e-2,,1.095e-21,8.667e-2
200.429,1.031e-1,,1.043e-21,1.031e-1
200.434,4.580e-1,,9.911e-22,4.580e-1
200.439,1.998e+0,,9.391e-22,1.998e+0
200.444,7.775e+0,,8.871e-22,7.775e+0
200.449,2.701e+1,,8.351e-22,2.701e+1
200.454,8.396e+1,,7.831e-22,8.396e+1
200.459,2.346e+2,,7.311e-22,2.346e+2
200.464,5.911e+2,,6.791e-22,5.911e+2
200.469,1.349e+3,,6.271e-22,1.349e+3
200.474,2.796e+3,,5.752e-22,2.796e+3
200.479,5.274e+3,,5.232e-22,5.274e+3
200.484,9.051e+3,,4.712e-22,9.051e+3
200.489,1.411e+4,,4.192e-22,1.411e+4
200.494,1.992e+4,,3.672e-22,1.992e+4
200.499,2.537e+4,,3.152e-22,2.537e+4
200.504,2.906e+4,,2.632e-22,2.906e+4
200.509,2.985e+4,,2.112e-22,2.985e+4
200.514,2.750e+4,,1.592e-22,2.750e+4
200.519,2.282e+4,,1.072e-22,2.282e+4
200.524,1.733e+4,,5.526e-23,1.733e+4
200.529,1.250e+4,,3.271e-24,1.250e+4
200.534,9.166e+3,,2.199e-22,9.166e+3
200.539,7.375e+3,,1.305e-20,7.375e+3
200.544,6.690e+3,,6.845e-19,6.690e+3
200.549,6.579e+3,,3.171e-17,6.579e+3
200.554,6.672e+3,,1.297e-15,6.672e+3
200.559,6.778e+3,,4.688e-14,6.778e+3
200.564,6.768e+3,,1.496e-12,6.768e+3
200.569,6.500e+3,,4.218e-11,6.500e+3
200.574,5.865e+3,,1.050e-9,5.865e+3
200.579,4.887e+3,,2.310e-8,4.887e+3
200.584,3.763e+3,,4.488e-7,3.763e+3
200.589,2.814e+3,,7.701e-6,2.814e+3
200.594,2.389e+3,,1.167e-4,2.389e+3
200.599,2.781e+3,,1.562e-3,2.781e+3
200.604,4.160e+3,,1.847e-2,4.160e+3
200.609,6.478e+3,,1.929e-1,6.478e+3
200.614,9.361e+3,,1.780e+0,9.359e+3
200.619,1.211e+4,,1.450e+1,1.210e+4
200.624,1.396e+4,,1.044e+2,1.385e+4
200.629,1.468e+4,,6.634e+2,1.402e+4
200.634,1.626e+4,,3.725e+3,1.254e+4
200.639,2.837e+4,,1.847e+4,9.901e+3
200.644,8.782e+4,,8.092e+4,6.906e+3
200.649,3.173e+5,,3.131e+5,4.254e+3
200.654,1.072e+6,,1.070e+6,2.315e+3
200.659,3.230e+6,,3.229e+6,1.112e+3
200.664,8.610e+6,,8.610e+6,4.720e+2
200.669,2.027e+7,,2.027e+7,1.769e+2
200.674,4.217e+7,,4.217e+7,5.856e+1
200.679,7.747e+7,,7.747e+7,1.712e+1
200.684,1.257e+8,,1.257e+8,4.421e+0
200.689,1.802e+8,,1.802e+8,1.008e+0
200.694,2.281e+8,,2.281e+8,2.031e-1
200.699,2.551e+8,,2.551e+8,3.644e-2
200.704,2.519e+8,,2.519e+8,8.288e-3
200.709,2.198e+8,,2.198e+8,1.956e-2
200.714,1.693e+8,,1.693e+8,1.193e-1
200.719,1.153e+8,,1.153e+8,6.682e-1
200.724,6.928e+7,,6.928e+7,3.309e+0
200.729,3.679e+7,,3.679e+7,1.448e+1
200.734,1.725e+7,,1.725e+7,5.595e+1
200.739,7.147e+6,,7.147e+6,1.910e+2
200.744,2.616e+6,,2.615e+6,5.759e+2
200.749,8.466e+5,,8.451e+5,1.534e+3
200.754,2.448e+5,,2.412e+5,3.610e+3
200.759,6.833e+4,,6.082e+4,7.505e+3
200.764,2.732e+4,,1.354e+4,1.378e+4
200.769,2.502e+4,,2.664e+3,2.235e+4
200.774,3.249e+4,,4.629e+2,3.203e+4
200.779,4.061e+4,,7.103e+1,4.054e+4
200.784,4.534e+4,,9.628e+0,4.533e+4
200.789,4.477e+4,,1.153e+0,4.477e+4
200.794,3.908e+4,,1.219e-1,3.908e+4
200.799,3.019e+4,,1.138e-2,3.019e+4
200.804,2.077e+4,,9.392e-4,2.077e+4
200.809,1.307e+4,,6.844e-5,1.307e+4
200.814,8.354e+3,,4.405e-6,8.354e+3
200.819,6.921e+3,,2.504e-7,6.921e+3
200.824,8.514e+3,,1.257e-8,8.514e+3
200.829,1.250e+4,,5.577e-10,1.250e+4
200.834,1.782e+4,,2.185e-11,1.782e+4
200.839,2.297e+4,,7.559e-13,2.297e+4
200.844,2.629e+4,,2.310e-14,2.629e+4
200.848,2.681e+4,,1.297e-15,2.681e+4
200.853,2.458e+4,,3.171e-17,2.458e+4
200.858,1.991e+4,,6.845e-19,1.991e+4
200.863,1.424e+4,,1.305e-20,1.424e+4
200.868,9.005e+3,,2.199e-22,9.005e+3
200.873,5.029e+3,,1.881e-22,5.029e+3
200.878,2.481e+3,,1.564e-22,2.481e+3
200.883,1.081e+3,,1.247e-22,1.081e+3
200.888,4.164e+2,,9.295e-23,4.164e+2
200.893,1.416e+2,,6.122e-23,1.416e+2
200.898,4.256e+1,,2.949e-23,4.256e+1
200.903,1.130e+1,,1.952e-21,1.130e+1
200.908,2.650e+0,,1.142e-19,2.650e+0
200.913,5.491e-1,,5.901e-18,5.491e-1
200.918,1.005e-1,,2.695e-16,1.005e-1
200.923,1.625e-2,,1.088e-14,1.625e-2
200.928,2.321e-3,,3.879e-13,2.321e-3
200.933,2.929e-4,,1.223e-11,2.929e-4
200.938,3.266e-5,,3.405e-10,3.266e-5
200.943,3.225e-6,,8.380e-9,3.216e-6
200.948,4.621e-7,,1.822e-7,2.799e-7
200.953,3.523e-6,,3.502e-6,2.151e-8
200.958,5.947e-5,,5.947e-5,1.467e-9
200.963,8.924e-4,,8.924e-4,1.834e-10
200.968,1.183e-2,,1.183e-2,1.372e-9
200.973,1.387e-1,,1.387e-1,1.726e-8
200.978,1.436e+0,,1.436e+0,1.925e-7
200.983,1.314e+1,,1.314e+1,1.896e-6
200.988,1.062e+2,,1.062e+2,1.651e-5
200.993,7.590e+2,,7.590e+2,1.271e-4
200.998,4.792e+3,,4.792e+3,8.641e-4
201.003,2.674e+4,,2.674e+4,5.192e-3
201.008,1.318e+5,,1.318e+5,2.757e-2
201.013,5.743e+5,,5.743e+5,1.293e-1
201.018,2.211e+6,,2.211e+6,5.363e-1
201.023,7.521e+6,,7.521e+6,1.965e+0
201.028,2.261e+7,,2.261e+7,6.362e+0
201.033,6.007e+7,,6.007e+7,1.820e+1
201.038,1.410e+8,,1.410e+8,4.602e+1
201.043,2.925e+8,,2.925e+8,1.028e+2
201.048,5.362e+8,,5.362e+8,2.030e+2
201.053,8.685e+8,,8.685e+8,3.541e+2
201.058,1.243e+9,,1.243e+9,5.459e+2
201.063,1.573e+9,,1.573e+9,7.437e+2
201.068,1.758e+9,,1.758e+9,8.953e+2
201.073,1.736e+9,,1.736e+9,9.524e+2
201.078,1.515e+9,,1.515e+9,8.953e+2
201.083,1.169e+9,,1.169e+9,7.437e+2
201.088,7.965e+8,,7.965e+8,5.460e+2
201.093,4.797e+8,,4.797e+8,3.548e+2
201.098,2.553e+8,,2.553e+8,2.062e+2
201.103,1.201e+8,,1.201e+8,1.153e+2
201.108,4.990e+7,,4.990e+7,8.839e+1
201.113,1.832e+7,,1.832e+7,1.455e+2
201.118,5.947e+6,,5.946e+6,3.442e+2
201.123,1.706e+6,,1.705e+6,7.945e+2
201.128,4.337e+5,,4.321e+5,1.644e+3
201.133,9.977e+4,,9.676e+4,3.012e+3
201.138,2.403e+4,,1.915e+4,4.881e+3
201.143,1.035e+4,,3.348e+3,6.998e+3
201.148,9.408e+3,,5.173e+2,8.891e+3
201.153,1.011e+4,,7.063e+1,1.004e+4
201.158,1.017e+4,,8.522e+0,1.016e+4
201.163,9.359e+3,,9.086e-1,9.358e+3
201.168,8.093e+3,,8.560e-2,8.093e+3
201.173,6.897e+3,,7.127e-3,6.897e+3
201.178,6.081e+3,,5.243e-4,6.081e+3
201.183,5.613e+3,,3.409e-5,5.613e+3
201.188,5.232e+3,,1.958e-6,5.232e+3
201.193,4.672e+3,,9.941e-8,4.672e+3
201.198,3.843e+3,,4.460e-9,3.843e+3
201.203,2.849e+3,,1.768e-10,2.849e+3
201.208,1.884e+3,,6.193e-12,1.884e+3
201.213,1.110e+3,,1.917e-13,1.110e+3
201.218,5.955e+2,,5.244e-15,5.955e+2
201.223,3.369e+2,,1.267e-16,3.369e+2
201.228,3.183e+2,,2.707e-18,3.183e+2
201.233,5.724e+2,,5.110e-20,5.724e+2
201.238,1.204e+3,,8.523e-22,1.204e+3
201.243,2.353e+3,,8.237e-22,2.353e+3
201.248,4.095e+3,,7.951e-22,4.095e+3
201.253,6.307e+3,,7.665e-22,6.307e+3
201.258,8.586e+3,,7.379e-22,8.586e+3
201.263,1.033e+4,,7.093e-22,1.033e+4
201.268,1.099e+4,,6.807e-22,1.099e+4
201.273,1.033e+4,,6.520e-22,1.033e+4
201.278,8.586e+3,,6.234e-22,8.586e+3
201.283,6.306e+3,,5.948e-22,6.306e+3
201.288,4.094e+3,,5.662e-22,4.094e+3
201.293,2.349e+3,,5.376e-22,2.349e+3
201.298,1.192e+3,,5.090e-22,1.192e+3
201.303,5.342e+2,,4.804e-22,5.342e+2
201.308,2.117e+2,,4.518e-22,2.117e+2
201.313,7.413e+1,,4.232e-22,7.413e+1
201.318,2.295e+1,,3.945e-22,2.295e+1
201.323,6.279e+0,,3.659e-22,6.279e+0
201.328,1.519e+0,,3.373e-22,1.519e+0
201.333,3.246e-1,,3.087e-22,3.246e-1
201.338,6.134e-2,,2.801e-22,6.134e-2
201.343,1.024e-2,,2.515e-22,1.024e-2
201.348,1.512e-3,,2.229e-22,1.512e-3
201.353,1.998e-4,,1.943e-22,1.998e-4
201.358,4.387e-5,,1.657e-22,4.387e-5
201.363,1.597e-4,,1.370e-22,1.597e-4
201.368,1.037e-3,,1.084e-22,1.037e-3
201.373,6.037e-3,,7.982e-23,6.037e-3
201.378,3.108e-2,,5.121e-23,3.108e-2
201.383,1.415e-1,,3.242e-21,1.415e-1
201.388,5.694e-1,,1.815e-19,5.694e-1
201.393,2.026e+0,,8.981e-18,2.026e+0
201.398,6.372e+0,,3.930e-16,6.372e+0
201.403,1.772e+1,,1.521e-14,1.772e+1
201.408,4.356e+1,,5.203e-13,4.356e+1
201.413,9.470e+1,,1.574e-11,9.470e+1
201.418,1.821e+2,,4.209e-10,1.821e+2
201.423,3.097e+2,,9.955e-9,3.097e+2
201.428,4.668e+2,,2.082e-7,4.668e+2
201.433,6.257e+2,,3.848e-6,6.257e+2
201.438,7.523e+2,,6.291e-5,7.523e+2
201.443,8.278e+2,,9.093e-4,8.278e+2
201.448,8.702e+2,,1.162e-2,8.702e+2
201.453,9.368e+2,,1.313e-1,9.367e+2
201.458,1.101e+3,,1.312e+0,1.100e+3
201.463,1.419e+3,,1.159e+1,1.407e+3
201.468,1.946e+3,,9.054e+1,1.855e+3
201.473,3.018e+3,,6.253e+2,2.392e+3
201.478,6.785e+3,,3.818e+3,2.966e+3
201.483,2.418e+4,,2.062e+4,3.567e+3
201.488,1.026e+5,,9.843e+4,4.222e+3
201.493,4.204e+5,,4.155e+5,4.930e+3
201.498,1.556e+6,,1.551e+6,5.583e+3
201.503,5.123e+6,,5.117e+6,5.974e+3
201.508,1.494e+7,,1.493e+7,5.890e+3
201.513,3.853e+7,,3.852e+7,5.258e+3
201.518,8.788e+7,,8.788e+7,4.204e+3
201.523,1.772e+8,,1.772e+8,2.992e+3
201.528,3.161e+8,,3.161e+8,1.890e+3
201.533,4.984e+8,,4.984e+8,1.057e+3
201.538,6.949e+8,,6.949e+8,5.236e+2
201.543,8.566e+8,,8.566e+8,2.293e+2
201.548,9.337e+8,,9.337e+8,8.883e+1
201.553,8.999e+8,,8.999e+8,3.043e+1
201.558,7.668e+8,,7.668e+8,9.215e+0
201.563,5.778e+8,,5.778e+8,2.468e+0
201.568,3.849e+8,,3.849e+8,5.842e-1
201.573,2.267e+8,,2.267e+8,1.223e-1
201.578,1.181e+8,,1.181e+8,2.264e-2
201.583,5.437e+7,,5.437e+7,3.722e-3
201.588,2.214e+7,,2.214e+7,6.843e-4
201.593,7.970e+6,,7.970e+6,1.143e-3
201.598,2.537e+6,,2.537e+6,6.887e-3
201.603,7.141e+5,,7.141e+5,3.894e-2
201.608,1.777e+5,,1.777e+5,1.949e-1
201.613,3.910e+4,,3.910e+4,8.626e-1
201.617,1.066e+4,,1.066e+4,2.595e+0
201.622,1.888e+3,,1.879e+3,9.207e+0
201.627,3.218e+2,,2.930e+2,2.888e+1
201.632,1.205e+2,,4.038e+1,8.013e+1
201.637,2.015e+2,,4.921e+0,1.966e+2
201.642,4.270e+2,,5.303e-1,4.265e+2
201.647,8.183e+2,,5.053e-2,8.182e+2
201.652,1.388e+3,,4.257e-3,1.388e+3
201.657,2.083e+3,,3.171e-4,2.083e+3
201.662,2.763e+3,,2.088e-5,2.763e+3
201.667,3.243e+3,,1.216e-6,3.243e+3
201.672,3.365e+3,,6.261e-8,3.365e+3
201.677,3.090e+3,,2.850e-9,3.090e+3
201.682,2.517e+3,,1.147e-10,2.517e+3
201.687,1.835e+3,,4.084e-12,1.835e+3
201.692,1.244e+3,,1.285e-13,1.244e+3
201.697,8.881e+2,,3.576e-15,8.881e+2
201.702,8.426e+2,,8.798e-17,8.426e+2
201.707,1.122e+3,,1.914e-18,1.122e+3
201.712,1.680e+3,,4.384e-20,1.680e+3
201.717,2.399e+3,,3.891e-19,2.399e+3
201.722,3.086e+3,,1.898e-17,3.086e+3
201.727,3.528e+3,,8.205e-16,3.528e+3
201.732,3.570e+3,,3.137e-14,3.570e+3
201.737,3.196e+3,,1.061e-12,3.196e+3
201.742,2.531e+3,,3.174e-11,2.531e+3
201.747,1.772e+3,,8.400e-10,1.772e+3
201.752,1.097e+3,,1.966e-8,1.097e+3
201.757,6.011e+2,,4.071e-7,6.011e+2
201.762,2.911e+2,,7.455e-6,2.911e+2
201.767,1.247e+2,,1.208e-4,1.247e+2
201.772,4.725e+1,,1.730e-3,4.725e+1
201.777,1.585e+1,,2.193e-2,1.583e+1
201.782,4.940e+0,,2.459e-1,4.694e+0
201.787,3.686e+0,,2.438e+0,1.248e+0
201.792,2.177e+1,,2.139e+1,3.848e-1
201.797,1.665e+2,,1.659e+2,5.333e-1
201.802,1.141e+3,,1.139e+3,2.007e+0
201.807,6.921e+3,,6.914e+3,7.421e+0
201.812,3.715e+4,,3.713e+4,2.440e+1
201.817,1.764e+5,,1.763e+5,7.095e+1
201.822,7.411e+5,,7.409e+5,1.825e+2
201.827,2.754e+6,,2.753e+6,4.153e+2
201.832,9.052e+6,,9.051e+6,8.358e+2
201.837,2.632e+7,,2.632e+7,1.488e+3
201.842,6.769e+7,,6.769e+7,2.343e+3
201.847,1.540e+8,,1.540e+8,3.263e+3
201.852,3.099e+8,,3.099e+8,4.020e+3
201.857,5.516e+8,,5.516e+8,4.381e+3
201.862,8.685e+8,,8.685e+8,4.223e+3
201.867,1.210e+9,,1.210e+9,3.600e+3
201.872,1.490e+9,,1.490e+9,2.715e+3
201.877,1.624e+9,,1.624e+9,1.811e+3
201.882,1.565e+9,,1.565e+9,1.068e+3
201.887,1.334e+9,,1.334e+9,5.575e+2
201.892,1.006e+9,,1.006e+9,2.573e+2
201.897,6.713e+8,,6.713e+8,1.051e+2
201.902,3.961e+8,,3.961e+8,3.795e+1
201.907,2.067e+8,,2.067e+8,1.212e+1
201.912,9.543e+7,,9.543e+7,3.425e+0
201.917,3.897e+7,,3.897e+7,8.559e-1
201.922,1.408e+7,,1.408e+7,1.892e-1
201.927,4.498e+6,,4.498e+6,3.700e-2
201.932,1.271e+6,,1.271e+6,6.398e-3
201.937,3.178e+5,,3.178e+5,9.788e-4
201.942,7.027e+4,,7.027e+4,1.324e-4
201.947,1.374e+4,,1.374e+4,1.585e-5
201.952,2.378e+3,,2.378e+3,1.678e-6
201.957,3.639e+2,,3.639e+2,1.571e-7
201.962,4.926e+1,,4.926e+1,1.302e-8
201.967,5.898e+0,,5.898e+0,9.535e-10
201.972,6.300e-1,,6.300e-1,6.179e-11
201.977,1.213e-1,,1.213e-1,3.542e-12
201.982,6.560e-1,,6.560e-1,1.796e-13
201.987,5.973e+0,,5.973e+0,8.052e-15
201.992,4.848e+1,,4.848e+1,3.194e-16
201.997,3.481e+2,,3.481e+2,1.121e-17
202.002,2.211e+3,,2.211e+3,3.478e-19
202.007,1.243e+4,,1.243e+4,9.546e-21
202.012,6.182e+4,,6.182e+4,2.318e-22
202.017,2.720e+5,,2.720e+5,4.978e-24
202.022,1.059e+6,,1.059e+6,9.455e-26
202.027,3.647e+6,,3.647e+6,1.589e-27
202.032,1.111e+7,,1.111e+7,3.570e-29
202.037,2.996e+7,,2.996e+7,2.255e-27
202.042,7.147e+7,,7.147e+7,1.260e-25
202.047,1.508e+8,,1.508e+8,6.232e-24
202.052,2.817e+8,,2.817e+8,2.727e-22
202.057,4.653e+8,,4.653e+8,1.056e-20
202.062,6.801e+8,,6.801e+8,3.619e-19
202.067,8.796e+8,,8.796e+8,1.097e-17
202.072,1.006e+9,,1.006e+9,2.944e-16
202.077,1.019e+9,,1.019e+9,6.991e-15
202.082,9.125e+8,,9.125e+8,1.469e-13
202.087,7.231e+8,,7.231e+8,2.731e-12
202.092,5.070e+8,,5.070e+8,4.493e-11
202.097,3.145e+8,,3.145e+8,6.540e-10
202.102,1.726e+8,,1.726e+8,8.426e-9
202.107,8.380e+7,,8.380e+7,9.605e-8
202.112,3.600e+7,,3.600e+7,9.689e-7
202.117,1.368e+7,,1.368e+7,8.648e-6
202.122,4.602e+6,,4.602e+6,6.831e-5
202.127,1.369e+6,,1.369e+6,4.775e-4
202.132,3.605e+5,,3.605e+5,2.953e-3
202.137,8.396e+4,,8.396e+4,1.616e-2
202.142,1.730e+4,,1.730e+4,7.827e-2
202.147,3.155e+3,,3.154e+3,3.354e-1
202.152,5.101e+2,,5.088e+2,1.272e+0
202.157,7.688e+1,,7.261e+1,4.269e+0
202.162,2.185e+1,,9.169e+0,1.268e+1
202.167,3.433e+1,,1.024e+0,3.331e+1
202.172,7.755e+1,,1.012e-1,7.745e+1
202.177,1.594e+2,,8.854e-3,1.594e+2
202.182,2.901e+2,,6.851e-4,2.901e+2
202.187,4.674e+2,,4.690e-5,4.674e+2
202.192,6.664e+2,,2.840e-6,6.664e+2
202.197,8.407e+2,,1.522e-7,8.407e+2
202.202,9.385e+2,,7.216e-9,9.385e+2
202.207,9.271e+2,,3.027e-10,9.271e+2
202.212,8.104e+2,,1.123e-11,8.104e+2
202.217,6.269e+2,,3.689e-13,6.269e+2
202.222,4.291e+2,,1.072e-14,4.291e+2
202.227,2.599e+2,,2.754e-16,2.599e+2
202.232,1.393e+2,,6.264e-18,1.393e+2
202.237,6.606e+1,,1.260e-19,6.606e+1
202.242,2.773e+1,,2.244e-21,2.773e+1
202.247,1.030e+1,,2.230e-21,1.030e+1
202.252,3.386e+0,,2.216e-21,3.386e+0
202.257,9.966e-1,,2.203e-21,9.966e-1
202.262,3.238e-1,,2.189e-21,3.238e-1
202.267,4.074e-1,,2.176e-21,4.074e-1
202.272,1.545e+0,,2.162e-21,1.545e+0
202.277,5.949e+0,,2.149e-21,5.949e+0
202.282,2.042e+1,,2.135e-21,2.042e+1
202.287,6.205e+1,,2.122e-21,6.205e+1
202.292,1.669e+2,,2.108e-21,1.669e+2
202.297,3.972e+2,,2.094e-21,3.972e+2
202.302,8.367e+2,,2.081e-21,8.367e+2
202.307,1.560e+3,,2.067e-21,1.560e+3
202.312,2.574e+3,,2.054e-21,2.574e+3
202.317,3.759e+3,,2.040e-21,3.759e+3
202.322,4.858e+3,,2.027e-21,4.858e+3
202.327,5.556e+3,,2.013e-21,5.556e+3
202.332,5.624e+3,,1.999e-21,5.624e+3
202.337,5.039e+3,,1.986e-21,5.039e+3
202.342,3.995e+3,,1.972e-21,3.995e+3
202.347,2.804e+3,,1.959e-21,2.804e+3
202.352,1.741e+3,,1.945e-21,1.741e+3
202.357,9.571e+2,,1.932e-21,9.571e+2
202.362,4.656e+2,,1.918e-21,4.656e+2
202.367,2.004e+2,,1.905e-21,2.004e+2
202.372,7.637e+1,,1.891e-21,7.637e+1
202.377,2.575e+1,,1.877e-21,2.575e+1
202.382,7.686e+0,,1.864e-21,7.686e+0
202.386,2.676e+0,,1.853e-21,2.676e+0
202.391,6.409e-1,,1.839e-21,6.409e-1
202.396,1.359e-1,,1.826e-21,1.359e-1
202.401,2.549e-2,,1.812e-21,2.549e-2
202.406,4.234e-3,,1.799e-21,4.234e-3
202.411,6.222e-4,,1.785e-21,6.222e-4
202.416,8.093e-5,,1.772e-21,8.093e-5
202.421,9.316e-6,,1.758e-21,9.316e-6
202.426,9.534e-7,,1.745e-21,9.534e-7
202.431,1.355e-7,,1.731e-21,1.355e-7
202.436,5.188e-7,,1.717e-21,5.188e-7
202.441,4.651e-6,,1.704e-21,4.651e-6
202.446,3.739e-5,,1.690e-21,3.739e-5
202.451,2.662e-4,,1.677e-21,2.662e-4
202.456,1.677e-3,,1.663e-21,1.677e-3
202.461,9.360e-3,,1.650e-21,9.360e-3
202.466,4.624e-2,,1.636e-21,4.624e-2
202.471,2.024e-1,,1.622e-21,2.024e-1
202.476,7.845e-1,,1.609e-21,7.845e-1
202.481,2.697e+0,,1.595e-21,2.697e+0
202.486,8.227e+0,,1.582e-21,8.227e+0
202.491,2.232e+1,,1.568e-21,2.232e+1
202.496,5.407e+1,,1.555e-21,5.407e+1
202.501,1.176e+2,,1.541e-21,1.176e+2
202.506,2.322e+2,,1.528e-21,2.322e+2
202.511,4.228e+2,,1.514e-21,4.228e+2
